,household_index,member_index,gender,relationship,education,height,weight,health,irresponsible,accurate,ever-ready,disciplined,ordered,clumsy,detail-oriented
0,9000,1,M,1,High,176.0,107.0,2.0,1.0,5.0,4.0,3.0,5.0,1.0,5.0
1,9000,2,F,2,Middle,167.0,65.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
2,9001,1,M,1,Middle,175.0,90.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,5.0
3,9001,2,F,2,Middle,175.0,75.0,2.0,1.0,5.0,3.0,3.0,5.0,1.0,2.0
4,9002,1,M,1,Middle,162.0,79.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0
5,9002,2,F,2,Low,165.0,75.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0
6,9003,1,M,1,High,173.0,88.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,4.0
7,9003,2,F,2,Middle,162.0,69.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0
8,9004,1,M,1,Middle,168.0,80.0,2.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0
9,9004,2,F,2,Middle,147.0,50.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0
10,9005,1,M,1,High,176.0,83.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0
11,9005,2,F,2,Middle,164.0,68.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,4.0
12,9006,1,M,1,High,187.0,80.0,2.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0
13,9006,2,F,2,Middle,176.0,82.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0
14,9007,1,M,2,Middle,171.0,78.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
15,9007,2,F,1,High,165.0,90.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0
16,9008,1,F,2,Middle,56.0,60.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0
17,9008,2,M,1,High,76.0,70.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,5.0
18,9009,1,M,1,High,182.0,79.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0
19,9009,2,F,2,Middle,168.0,59.0,1.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0
20,9010,1,M,1,Low,185.0,95.0,1.0,1.0,4.0,4.0,5.0,4.0,1.0,4.0
21,9010,2,F,2,Middle,170.0,74.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,4.0
22,9011,1,M,1,Middle,190.0,100.0,3.0,1.0,5.0,5.0,1.0,4.0,1.0,3.0
23,9011,2,F,2,Middle,180.0,95.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0
