nohhold,nomem,weeknr,gez1,gez2,gez3,gez4,gez5,gez7,gez8,gez9,huisa1,huisa2,huisa3,ziek,hziek,kans0,kans1a,kans2a,kans3a,kans4a,kans5a,kans6a,ij2,ij161,ij16br,ij181,ij241,ij162,ij16br2,ij182,ij242,ij163,ij16br3,ij183,ij243,j16a,j16abra,j16b,iz1,iz14,iz15,iz16,iz16bra,iz18,iz19,iz24,iz37,iz38,iz38br,iz40,iz41,ip20,ip21,ip22,ip23,ip24,inp27a,ip41,ip4bra,ip71,ip42,ip4bra2,ip72,ip43,ip4bra3,ip73,ip44,ip4bra4,ip74,ii20,ii21,ii22,ii23,ii41,ii4br,ii61,ii42,ii4br2,ii62,ii43,ii4br3,ii63,is20,is21,is22,is23,is24,is25,is26,is27,is28,is29,is210,is211,is41,is4br,is61,is42,is4br2,is62,is43,is4br3,is63,is44,is4br4,is64,is45,is4br5,is65,is46,is4br6,is66,is47,is4br7,is67,is48,is4br8,is68,is4n,is4brn,is4n2,is4brn2,is4n3,is4brn3,io20,io21,io22,io23,io24,io25,io26,io27,io28,io48a,io48c,io41,io4br,io42,io4br2,io43,io4br3,io44,io4br4,io45,io4br5,io46,io4br6,io47,io4br7,io48,io4br8,io48b,io4br9,io48d,io4br10,in25,in26,in11a,in12a,in29a,in29b,in29,in30,in32,in33,in35,in36,in38,in39,in41a,in42,he070,he067,he068,he069,in45,in46,in48,in2012,in16,in18,in20,in22,in49a,in50,psy1,psy2,psy3,psy4,psy5,psy6,gebeur1,gebeur2,gebeur3,gebeur4,gebeur5,gebeur6,gebeur7,gebeur8,gebeur9,laag,hoog,pro1,pro2,pro3,pro4,dnbbaan,laagpr,hoogpr,pr0,pr1a,pr2a,pr3a,pr4a
6,1,201228,176,103,2,1,1,3, ,2,0,4,0,1,125, ,7,4, , , , ,1,42618, , ,1, , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,1,2,2,2,2,2,2,2,2,2, , , ,5314, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,1,3156,2, ,-7, ,-7, ,2, ,2, ,2,1,326,1,1,1,1,16880,7,4,1,47127, , ,44450, , , , , , , ,0,0,1,0,0,0,0,0,0,35000,60000,30,50,85,95,85,2.3,3.4,3,0,50,10,0
6,2,201228,165,76,2,4,1,2,1,2,0,8,0, , ,7,5,2, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,5, ,1,1,1,-7, , , ,1,0, , ,-9,7, , , , , , ,1,0,0,0,0,0,0,0,0,0,0,,,,, ,1.2,2.9,2,10,80,10,10
21,1,201220,175,93,2,3,2,3, ,2,1,2, , , , , , ,7,4, , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,21051, , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,1,14760,1,1500,-7, ,-7, ,2, ,2, ,2,1,256,2,1,1,-7, , , ,1,34830, , ,55000, , , , , , , ,0,1,0,0,0,0,0,0,0,50000,60000,0,10,75,0, ,2.7,3,2,10,25,50,0
21,2,201220,178,65,1,3,2,3, ,2,1, , , , , , ,10,9, , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,2, , , ,16706, , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,3,1,128,2,1,1,-7, , , ,2, , , ,-9,10, , , , , , ,0,1,0,0,0,0,0,0,0,47500,55000,10,100,50,0, ,2.5,3.5,3,0,25,10,0
38,1,201220,160,79,1,3,2,3, ,2, ,3, , , , , , , , ,5,2,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,1,2,1, , , ,9445, , ,18881, , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,900, , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , ,208, , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,1,2200,1, , , , , ,-7, , , ,1,25607, , ,30663, , , , , , , ,0,0,0,0,0,0,0,1,0,30500,31000,10,15,30,90, ,2.5,3,3,10,5,0,0
38,2,201220,165,77,2,3,2,3, ,2,4,8,0, , , , , , , ,3,1,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,2,1,2,2, , , , ,9445, , , , , , , , ,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,120,2,1,1,-7, , , ,2, , , ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,30000,30500,80,75,60,50, ,2.5,2.8,2,0,50,1,0
106,1,201220,182,100,2,3,2,3, ,2,0,7,0,2, ,8,8,8, , , , ,1,-9,5, ,3, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,-9,1, , ,-9,1,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,-9,1,1,1,2, , , ,1,-9,-9,-9,24000, , , , , , , ,0,0,0,0,0,0,0,1,0,24000,24000,,,,,50,2,3,2,0,0,0,0
106,2,201220,159,63,1,3,2,3, ,2, , , , , ,9,8,8, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,3600, , , ,2400, ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,1,279,1,1,-9,-7, , , ,1,-9,6, ,-9,8, , , , , , ,0,0,0,0,0,0,0,1,0,23000,30000,0,0,0,60, ,-7,5.3,2,60,70,30,20
116,1,201220,173,91,2,3,2,2,1,1,0,1,0, , , ,8,5, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,2,2,1,1, , , ,36921, , ,22476, , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,4,1540,2,1,1,-7, , , ,1,59397, , ,33552, , , , , , , ,0,0,0,0,0,0,0,1,0,32000,33450,80,80,80,80, ,4,6,6,0,55,20,10
116,2,201220,162,68,2,3,2,3, ,1,1,7,0, , , ,6,3, , , , ,0, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , ,1,2,2,2,2, , , , , , , , , , , , , ,1,2,2,2, , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , ,2, ,2, ,2, ,-7, ,-7, ,2, ,2, ,2,4,1540,2,1,1,-7, , , ,2, , , ,33551, , , , , , , ,0,0,0,0,0,0,0,1,0,30000,33551,10,10,25,50, ,6.5,10,6,0,20,5,2
