,household_index,member_index,gender,relationship,education,height,weight,health,irresponsible,accurate,ever-ready,disciplined,ordered,clumsy,detail-oriented
0,0,1,M,1,1.0,0.8844221105527639,0.5578947368421052,0.8,0.2,1.0,0.8,0.4,1.0,0.2,1.0
1,0,2,F,2,0.6666666666666666,0.8291457286432161,0.37894736842105264,0.8,0.6,0.2,0.6,0.4,0.6,0.6,0.8
2,1,1,M,1,0.6666666666666666,0.8793969849246231,0.48947368421052634,0.8,0.4,1.0,0.8,0.2,0.6,0.4,0.6
3,1,2,F,2,0.6666666666666666,0.8844221105527639,0.34210526315789475,1.0,0.2,1.0,0.8,0.6,1.0,0.2,0.8
4,2,1,M,1,0.6666666666666666,0.8140703517587939,0.38421052631578945,1.0,0.6,0.4,0.6,0.4,0.4,1.0,0.6
5,2,2,F,2,0.3333333333333333,0.8341708542713567,0.39473684210526316,0.8,0.4,0.8,0.6,0.8,1.0,0.2,0.8
6,3,1,M,1,0.6666666666666666,0.914572864321608,0.46842105263157896,0.8,1.0,1.0,1.0,0.2,1.0,1.0,1.0
7,3,2,F,2,0.6666666666666666,0.7889447236180904,0.3473684210526316,0.8,0.4,0.8,0.6,0.6,1.0,0.2,0.6
8,4,1,M,1,1.0,0.8944723618090452,0.47368421052631576,0.8,0.4,1.0,0.4,0.8,0.8,0.8,0.6
9,4,2,F,2,0.6666666666666666,0.8442211055276382,0.3894736842105263,0.6,0.8,0.8,0.8,0.6,0.8,0.4,0.6
10,5,1,M,1,0.6666666666666666,0.8894472361809045,0.4368421052631579,0.8,0.4,0.4,0.4,0.6,0.4,0.2,0.4
11,5,2,F,2,0.6666666666666666,0.8542713567839196,0.3526315789473684,0.6,0.4,0.8,0.6,0.8,0.4,0.4,0.8
12,6,1,M,1,0.6666666666666666,0.9698492462311558,0.47368421052631576,1.0,1.0,1.0,0.8,0.6,0.6,0.8,0.8
13,6,2,F,2,0.6666666666666666,0.8693467336683417,0.5052631578947369,0.8,0.4,0.6,0.8,0.6,0.6,0.2,0.8
14,7,1,M,1,0.3333333333333333,0.8743718592964824,0.42105263157894735,0.6,0.2,0.4,0.6,0.6,0.8,0.6,0.6
15,7,2,F,2,0.3333333333333333,0.8241206030150754,0.37894736842105264,0.6,0.4,0.8,0.8,0.8,1.0,0.2,0.4
16,8,1,F,2,0.3333333333333333,0.864321608040201,0.34210526315789475,0.8,0.8,1.0,0.6,0.6,1.0,0.2,0.8
17,8,2,M,1,0.6666666666666666,0.9195979899497487,0.42105263157894735,1.0,0.2,0.8,0.8,0.2,0.8,0.2,0.8
18,9,1,M,1,0.6666666666666666,0.8442211055276382,0.42105263157894735,0.8,0.2,1.0,1.0,0.6,1.0,0.2,1.0
19,9,2,F,2,0.6666666666666666,0.8291457286432161,0.23684210526315788,0.6,0.2,1.0,1.0,1.0,1.0,0.4,1.0
20,10,1,F,2,0.6666666666666666,0.8442211055276382,0.39473684210526316,1.0,0.4,0.8,0.6,0.6,0.8,0.6,0.8
21,10,2,M,1,0.6666666666666666,0.914572864321608,0.42105263157894735,1.0,0.4,0.8,0.8,0.8,0.8,0.6,0.8
22,11,1,M,1,1.0,0.8844221105527639,0.4368421052631579,1.0,0.2,1.0,1.0,0.8,1.0,0.2,0.8
23,11,2,F,2,0.6666666666666666,0.8844221105527639,0.47368421052631576,0.8,0.2,1.0,0.6,0.4,0.2,0.2,1.0
24,12,1,F,2,0.6666666666666666,0.8944723618090452,0.35789473684210527,0.8,0.4,0.8,0.8,0.4,0.8,0.2,0.8
25,12,2,M,1,0.6666666666666666,0.9547738693467337,0.45263157894736844,1.0,0.2,1.0,1.0,0.2,0.6,0.2,0.4
26,13,1,M,1,0.6666666666666666,0.8341708542713567,0.39473684210526316,0.6,0.2,0.8,0.8,0.6,0.8,0.2,0.8
27,13,2,F,2,0.6666666666666666,0.8241206030150754,0.34210526315789475,0.6,0.4,0.8,0.6,0.6,0.8,0.4,0.6
28,14,1,M,1,1.0,0.9045226130653267,0.3684210526315789,0.4,0.2,0.8,0.6,0.6,0.8,0.4,0.8
29,14,2,F,2,0.3333333333333333,0.8040201005025126,0.37894736842105264,0.4,0.6,0.4,0.4,0.4,0.4,0.8,0.4
30,15,1,M,1,1.0,0.9246231155778895,0.49473684210526314,0.2,0.4,0.4,0.4,0.4,0.8,0.4,0.4
31,15,2,F,2,1.0,0.8291457286432161,0.35789473684210527,0.8,0.2,0.8,0.8,0.8,0.6,0.6,0.8
32,16,1,M,1,1.0,0.9396984924623115,0.42105263157894735,1.0,0.2,0.8,0.8,0.8,0.8,0.2,0.8
33,16,2,F,2,0.6666666666666666,0.8844221105527639,0.42105263157894735,1.0,0.4,0.8,0.8,0.4,0.8,0.4,0.8
34,17,1,M,2,0.6666666666666666,0.864321608040201,0.43157894736842106,0.6,0.4,0.4,0.6,0.6,0.8,0.6,0.4
35,17,2,F,1,1.0,0.8140703517587939,0.47368421052631576,0.8,0.2,0.8,0.8,0.2,0.6,0.6,0.8
36,18,1,F,2,1.0,0.864321608040201,0.4421052631578947,0.8,0.2,1.0,1.0,1.0,1.0,0.2,0.8
37,18,2,M,1,1.0,0.964824120603015,0.48947368421052634,0.8,0.6,0.6,0.8,0.4,0.6,0.8,0.6
38,19,1,F,2,1.0,0.8542713567839196,0.3736842105263158,0.6,0.6,0.8,0.6,0.6,0.8,0.4,0.8
39,19,2,M,1,0.6666666666666666,0.9045226130653267,0.4842105263157895,0.4,0.2,0.8,0.8,0.6,0.8,0.4,0.6
40,20,1,M,1,1.0,0.914572864321608,0.9578947368421052,1.0,0.2,0.6,0.6,0.6,0.8,0.4,0.6
41,20,2,F,2,1.0,0.8793969849246231,0.3631578947368421,0.8,0.4,0.8,0.6,0.4,0.8,0.4,0.8
42,21,1,F,2,0.6666666666666666,0.7939698492462312,0.32105263157894737,0.8,1.0,0.8,0.6,0.2,0.8,0.2,0.8
43,21,2,M,1,1.0,0.8844221105527639,0.37894736842105264,0.8,0.8,1.0,0.8,0.2,0.8,0.2,1.0
44,22,1,M,1,1.0,0.914572864321608,0.41578947368421054,1.0,0.4,0.4,0.8,0.6,1.0,0.2,0.2
45,22,2,F,2,0.6666666666666666,0.8442211055276382,0.2894736842105263,1.0,0.8,0.8,0.8,0.2,0.8,0.4,0.4
46,23,1,M,1,0.6666666666666666,0.8391959798994975,0.3473684210526316,0.8,0.2,0.8,0.8,0.6,1.0,0.2,0.8
47,23,2,F,2,0.6666666666666666,0.7738693467336684,0.28421052631578947,0.8,1.0,0.2,0.4,0.6,0.2,1.0,0.2
48,24,1,M,1,0.3333333333333333,0.9296482412060302,0.4842105263157895,0.8,0.2,0.8,0.4,0.2,0.2,0.2,0.8
49,24,2,F,2,0.6666666666666666,0.8542713567839196,0.3526315789473684,0.8,0.2,0.8,0.6,0.8,0.8,0.2,0.8
50,25,1,M,1,1.0,0.8442211055276382,0.3684210526315789,0.8,0.2,0.8,0.8,0.6,1.0,0.2,0.6
